Elapsed Time : 504.10, Accuracy : 35.12
Elapsed Time : 505.11, Accuracy : 35.25
Elapsed Time : 506.11, Accuracy : 35.38
Elapsed Time : 507.11, Accuracy : 35.50
Elapsed Time : 508.11, Accuracy : 35.63
Elapsed Time : 509.12, Accuracy : 35.76
Elapsed Time : 510.12, Accuracy : 35.88
Elapsed Time : 511.13, Accuracy : 36.01
Elapsed Time : 512.13, Accuracy : 36.13
Elapsed Time : 513.13, Accuracy : 36.26
